# GREAT version 3.0.0	Species assembly: mm9	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
0610009L18Rik	. (+5071)
4930524J08Rik	. (-13)
4930570N19Rik	. (+156)
4930583I09Rik	. (+233862)
4931440F15Rik	. (+131627)
4931440P22Rik	. (-129798), . (-148)
4932442L08Rik	. (-179)
4933407L21Rik	. (-32846)
4933412E24Rik	. (+288211)
4933426M11Rik	. (-41)
4933427E11Rik	. (+235)
4933434E20Rik	. (-154)
4933440N22Rik	. (+131)
5031425E22Rik	. (+1002), . (+15504)
5830415F09Rik	. (+118)
5830418K08Rik	. (-9)
5930403N24Rik	. (-2269)
6030458C11Rik	. (-53)
6330403A02Rik	. (+51456), . (+55043), . (+95967)
6430548M08Rik	. (-135)
6430571L13Rik	. (-2250)
6530403G13Rik	. (-41)
6720489N17Rik	. (-248716)
9030617O03Rik	. (+60262)
9030624J02Rik	. (+421)
9130401M01Rik	. (+164)
9230102O04Rik	. (-5521)
9430016H08Rik	. (+265)
9430023L20Rik	. (-140)
9630014M24Rik	. (-56), . (+30309)
9830107B12Rik	. (+45193)
A1bg	. (-236648)
A230046K03Rik	. (+85)
A230050P20Rik	. (+9715)
A330017A19Rik	. (-97)
A3galt2	. (-47558)
A430005L14Rik	. (-194)
A530054K11Rik	. (-113)
A630007B06Rik	. (-82)
A730018C14Rik	. (+123780)
A830005F24Rik	. (+32332)
A830080D01Rik	. (-100)
A930002H24Rik	. (-125)
A930003A15Rik	. (-432)
A930004D18Rik	. (+10172)
A930005H10Rik	. (+111)
AA987161	. (+215)
AB041803	. (+110326)
AI413582	. (-118)
AI462493	. (+134)
AI593442	. (+449621)
AI597479	. (-120)
AI836003	. (+13621)
AW549877	. (-141)
AY074887	. (+141)
Aaas	. (-123)
Aacs	. (-9853), . (-33)
Aaed1	. (+377)
Aak1	. (+153301)
Aamdc	. (-109)
Aamp	. (-117)
Aanat	. (+22345)
Aars	. (-99), . (+22485)
Aars2	. (+145)
Aatf	. (+5)
Abca1	. (-80)
Abca17	. (-722)
Abca2	. (-1787), . (-2)
Abca3	. (-272)
Abca4	. (+77913)
Abca8b	. (+135433)
Abcb6	. (+139)
Abcc10	. (-238)
Abcc5	. (+186)
Abce1	. (+140)
Abcf1	. (-85)
Abcf2	. (-156)
Abhd10	. (+78)
Abhd12	. (-4941), . (-50)
Abhd16a	. (-11)
Abhd17b	. (-365)
Abhd8	. (-1085)
Abi1	. (-167)
Abra	. (+257311)
Abt1	. (-8986), . (+22049)
Acaa2	. (-249)
Acadsb	. (-50)
Acadvl	. (+149)
Acat1	. (+77)
Acat2	. (+130)
Acbd3	. (-99), . (+42443)
Acbd4	. (+1275)
Acbd7	. (-3425)
Ace	. (-8567)
Acot1	. (+21598)
Acot2	. (-228)
Acot4	. (-7279)
Acoxl	. (+154379)
Acpl2	. (-4), . (+130133)
Acpp	. (+74669)
Acsf2	. (-90)
Acsl3	. (-120193)
Actb	. (-14116), . (-14)
Actn3	. (-829)
Actr3	. (-315)
Acvr1b	. (-28502)
Acvrl1	. (+17101)
Acyp1	. (-80)
Ada	. (+30892)
Adam10	. (-140)
Adam17	. (-59)
Adam30	. (-74707)
Adamts2	. (-162031)
Adamts6	. (-778)
Adat2	. (+197)
Adc	. (-18861)
Adck2	. (+145)
Adck3	. (-60)
Adck5	. (-1)
Add1	. (-356)
Adgb	. (+108566)
Adh5	. (-120)
Adhfe1	. (-2541)
Adk	. (+23394)
Adm	. (+2690)
Adnp	. (-352), . (+52626)
Ado	. (-492)
Adora1	. (+38995)
Adora3	. (-45152)
Adpgk	. (-107)
Adprhl1	. (+40300)
Adprhl2	. (+45)
Adprm	. (-161)
Adra1d	. (+52232)
Adrbk1	. (+1810)
Adrm1	. (-171)
Adsl	. (-149831)
Adssl1	. (-1917)
Aebp2	. (-83)
Aes	. (-9386)
Afg3l2	. (+14)
Agap3	. (-4296), . (-406)
Ago1	. (-372)
Ago2	. (-395)
Ago3	. (-128)
Agpat4	. (-79897), . (+86410), . (+91473)
Agps	. (-68669)
Agt	. (-4081)
Agtrap	. (-159)
Ahctf1	. (-145)
Ahcy	. (+23582)
Ahcyl1	. (-47)
Ahcyl2	. (-415)
Ahnak	. (+8395)
Ahsa1	. (-215)
Aimp1	. (-113)
Aimp2	. (+89)
Aip	. (-119)
Ak2	. (-11924), . (+18475)
Ak3	. (-15958)
Akap1	. (-944)
Akap10	. (-73)
Akap5	. (-5887)
Akap8	. (+139)
Akap8l	. (-13957)
Akip1	. (+3745)
Akirin1	. (-30)
Akr1b3	. (+46)
Akr7a5	. (-41)
Alas2	. (-88362), . (-69235)
Aldh2	. (+29098)
Aldh3a2	. (-100)
Aldh7a1	. (-38)
Aldoa	. (-200)
Alg1	. (+9)
Alg12	. (-172)
Alg2	. (+36261)
Alg5	. (-180)
Alg8	. (+75)
Alkbh4	. (-161)
Alkbh7	. (-62)
Alyref	. (-202)
Amdhd1	. (+160)
Amdhd2	. (+156), . (+11319)
Amigo2	. (-334726)
Ammecr1l	. (-215)
Ampd2	. (-58)
Ampd3	. (-137855)
Amz2	. (-253), . (+14107)
Anapc1	. (-106)
Anapc10	. (-220)
Anapc11	. (+35)
Anapc13	. (+191)
Anapc15	. (-1103)
Anapc2	. (-91)
Anapc5	. (+98)
Angptl4	. (+221)
Angptl6	. (+1370)
Ank2	. (+129)
Ankdd1a	. (-24636), . (-7163)
Ankfy1	. (-81619)
Ankib1	. (+95)
Ankle2	. (-22)
Ankra2	. (-133)
Ankrd11	. (-67672)
Ankrd13c	. (+84237)
Ankrd13d	. (-21277)
Ankrd17	. (-293)
Ankrd24	. (+15115)
Ankrd33b	. (+22674)
Ankrd37	. (-170)
Ankrd39	. (-9975), . (-1)
Ankrd40	. (-122)
Ankrd46	. (+131)
Ankrd52	. (+23)
Anks1	. (-1596)
Anln	. (-23)
Ano2	. (-87030)
Anp32a	. (+12667)
Anp32b	. (-87)
Anp32e	. (+21962)
Antxr1	. (+182806)
Anxa5	. (+4)
Anxa6	. (+121), . (+59587)
Ap1ar	. (+6)
Ap1b1	. (+173)
Ap1g1	. (-73)
Ap1m1	. (-290)
Ap1s1	. (+13488)
Ap1s2	. (-19)
Ap2b1	. (-3582), . (+9)
Ap2m1	. (-63)
Ap4e1	. (-213)
Ap5m1	. (-9)
Ap5s1	. (-158)
Ap5z1	. (+71)
Apbb3	. (-59)
Apc2	. (-3546)
Apeh	. (-10558)
Apex1	. (+24)
Api5	. (+82)
Apitd1	. (+112)
Aplp2	. (+49)
Apoa2	. (-2448)
Apold1	. (-53494)
Apom	. (-3006)
Apoo	. (-198)
Apopt1	. (-87)
Appbp2	. (+134)
Appl2	. (-20)
Araf	. (-29256)
Arf1	. (-17)
Arf2	. (+34532)
Arf4	. (-47)
Arf5	. (-1807)
Arf6	. (-362)
Arfgef2	. (+95)
Arhgap1	. (-42)
Arhgap11a	. (-146)
Arhgap12	. (-9), . (+146069)
Arhgap19	. (-5)
Arhgap21	. (-1762)
Arhgap23	. (-15165)
Arhgap24	. (+70)
Arhgap26	. (+56), . (+144430)
Arhgdia	. (+13)
Arhgef10l	. (-30962)
Arhgef2	. (-13685)
Arhgef37	. (+54650)
Arid1a	. (-60767), . (-783)
Arid1b	. (-86793), . (-699), . (+2221), . (+143868)
Arid2	. (-1819)
Arid3a	. (-150)
Arid3b	. (-178), . (+5148)
Arid5a	. (+90)
Arih2	. (-126)
Arl15	. (-37)
Arl2	. (-22)
Arl4a	. (-23)
Arl4c	. (+62427), . (+114605)
Arl5a	. (-138)
Arl5b	. (-36)
Arl6ip4	. (-3969)
Arl6ip5	. (-85)
Arl8b	. (-30)
Armc1	. (-32)
Armc12	. (-7887)
Armc2	. (-12839)
Armc6	. (+142)
Armc8	. (+31)
Armc9	. (-104)
Armcx5	. (-197)
Arntl	. (-446496)
Arpc3	. (-12080), . (-52)
Arrb2	. (-307)
Arsa	. (+1189)
Arv1	. (+55)
Asah1	. (+22)
Asap3	. (-28377)
Asb3	. (0)
Asb6	. (+2014)
Asf1a	. (-71100), . (-191)
Ash1l	. (+125153)
Asnsd1	. (+91)
Asph	. (+6)
Aspscr1	. (+189)
Ass1	. (-80)
Asxl1	. (-194)
Atad1	. (-251)
Atad2	. (-150)
Atad2b	. (-25)
Atat1	. (+14)
Atf3	. (-116298), . (-94412), . (-74)
Atf4	. (-317)
Atf5	. (-2373)
Atf6b	. (-34)
Atf7	. (+3)
Atg10	. (-147186)
Atg13	. (-337)
Atg14	. (+34512)
Atg16l1	. (-48)
Atg16l2	. (-74)
Atg3	. (-45)
Atg4b	. (-95)
Atg5	. (+7), . (+112491)
Atg7	. (+218356)
Atg9b	. (+8480)
Athl1	. (-75)
Atic	. (-57)
Atl1	. (-111)
Atl2	. (-108801), . (-159)
Atl3	. (-79)
Atm	. (-114)
Atmin	. (+36)
Atp13a2	. (-3271)
Atp2a3	. (-7154)
Atp2b4	. (-24648)
Atp5a1	. (+189)
Atp5d	. (+5)
Atp5f1	. (+735)
Atp5g1	. (-158)
Atp5g2	. (-123)
Atp5g3	. (-20)
Atp5h	. (-9)
Atp5o	. (+13903)
Atp5s	. (-54)
Atp6ap2	. (-335428)
Atp6v0a1	. (-1007)
Atp6v0b	. (+30)
Atp6v0d1	. (-108)
Atp6v0e	. (-13230), . (+193)
Atp6v1c1	. (-58)
Atp6v1d	. (-150)
Atp6v1f	. (+157)
Atp6v1g2	. (-773)
Atp6v1h	. (+5)
Atp7a	. (-79)
Atp8b3	. (+29390)
Atpaf2	. (-105)
Atpif1	. (-1964)
Atxn2	. (-365)
Atxn2l	. (-305)
Atxn3	. (+19)
Atxn7l1	. (-154765), . (+77755)
Atxn7l3	. (-12556), . (-530)
Auh	. (+160)
Aup1	. (-14)
Aurka	. (-211)
Avl9	. (+48)
Avpi1	. (-142)
Axin1	. (-174)
Azi2	. (-101)
Azin1	. (-133), . (+984), . (+45555), . (+48398)
B230219D22Rik	. (-230)
B230317F23Rik	. (-55)
B3galnt2	. (-219)
B3galt4	. (-4358), . (+38)
B3gnt2	. (-14)
B4galnt3	. (+182093)
B4galt1	. (+71864)
B4galt2	. (-3812)
B4galt7	. (+9)
B9d1	. (-141)
BC003965	. (-73)
BC004004	. (+76)
BC016423	. (-73)
BC018507	. (-353)
BC024139	. (-78703), . (-72067)
BC024978	. (+519)
BC029214	. (+253)
BC030867	. (-19)
BC034090	. (+8326)
BC035947	. (-25669)
BC048403	. (-136)
BC048609	. (-2958)
BC051019	. (+16351)
BC061194	. (-4990)
Bach1	. (+1204)
Bag1	. (-91)
Bag4	. (-136)
Bag5	. (+83), . (+16821)
Bag6	. (-122)
Baiap2l1	. (+80813)
Bak1	. (+401), . (+16731)
Bap1	. (-210)
Batf	. (+18902)
Bax	. (+183)
Baz1b	. (-189)
Bbc3	. (-14556)
Bbip1	. (+39523)
Bbx	. (-97731)
Bcar3	. (+61)
Bcas2	. (+22)
Bcat2	. (+21975)
Bcdin3d	. (+5464)
Bcl2l1	. (+144), . (+21397)
Bcl2l11	. (-117032), . (-130), . (+77994), . (+169214), . (+286497), . (+418807)
Bcl2l13	. (-111)
Bcl3	. (+5233)
Bcl7c	. (+74)
Bcor	. (-171820), . (+186), . (+327254)
Bcorl1	. (+2494)
Bcs1l	. (-117)
Becn1	. (-9)
Bet1	. (-33)
Bfsp2	. (+55219)
Bhlhe40	. (-89370)
Birc2	. (-1927)
Birc3	. (-43)
Birc5	. (-16891), . (-130)
Birc6	. (-18)
Blm	. (-255)
Blmh	. (+163)
Bloc1s1	. (+145)
Bloc1s4	. (+35298), . (+52750)
Bloc1s6	. (-124)
Bmp2k	. (-135)
Bms1	. (-201)
Bnip1	. (-54)
Bnip3l	. (-149)
Bod1	. (-152882)
Bod1l	. (-82)
Bola3	. (+28)
Bop1	. (-80)
Bptf	. (-50)
Brat1	. (-367)
Brca2	. (-54)
Brd2	. (+2316), . (+19953)
Brd3	. (+33034)
Brd4	. (-529)
Brd9	. (-167)
Brf1	. (+195)
Bri3	. (+22065)
Bri3bp	. (+24393)
Brix1	. (-42)
Brpf1	. (-189)
Bsg	. (+72)
Bsn	. (+85346)
Bst2	. (+23), . (+15613)
Btaf1	. (+110)
Btbd19	. (+1670)
Btbd8	. (-243)
Btg2	. (-124)
Btk	. (-2613)
Btn1a1	. (+33023)
Btrc	. (+177960)
Bud13	. (-136)
Bud31	. (-203)
Bysl	. (+116), . (+13128), . (+18073), . (+100134)
C030006K11Rik	. (+16)
C030034I22Rik	. (-30)
C030039L03Rik	. (+8)
C130040N14Rik	. (+738)
C1qbp	. (+7)
C230081A13Rik	. (+237828)
C2cd3	. (-228)
C330006D17Rik	. (-118)
C330007P06Rik	. (-324)
C78339	. (-196)
C87436	. (+221), . (+33971)
Cab39l	. (-150)
Cabyr	. (+292)
Cacna1f	. (-1652)
Cacnb1	. (-4161)
Cacul1	. (-73)
Cad	. (-62)
Cage1	. (-178)
Calhm2	. (+5025)
Calm1	. (-12579), . (-649), . (+1883), . (+76922)
Calm2	. (-124822), . (-136)
Calm3	. (-278)
Calm4	. (+55782)
Calr	. (-72)
Camk1d	. (+99395), . (+100632)
Camk2a	. (+37979)
Camkk1	. (+17995)
Cand1	. (-404), . (+160714)
Canx	. (-83)
Capn10	. (+90)
Capn11	. (+32490)
Capn12	. (-13875)
Capn13	. (+136075)
Capn2	. (+10915), . (+27456)
Capn9	. (-2324)
Car2	. (-16487)
Car3	. (+6401)
Carhsp1	. (+269)
Carns1	. (+5728)
Casc3	. (+5014)
Caskin2	. (-474)
Casp2	. (-108)
Casp9	. (-2857)
Catsper2	. (+57)
Catsperd	. (-1249)
Cbl	. (-102)
Cblc	. (-20728)
Cbwd1	. (-181)
Cbx6	. (+489)
Cbx8	. (-21)
Cc2d1b	. (-115)
Ccdc101	. (+85)
Ccdc115	. (-13)
Ccdc117	. (+20179)
Ccdc126	. (-137)
Ccdc134	. (-93)
Ccdc142	. (-81)
Ccdc15	. (-78)
Ccdc151	. (-217)
Ccdc163	. (-4635)
Ccdc167	. (+23)
Ccdc22	. (+70)
Ccdc3	. (+476107), . (+477344)
Ccdc32	. (+52896)
Ccdc38	. (-759)
Ccdc43	. (-113)
Ccdc54	. (+61033)
Ccdc59	. (+154)
Ccdc71l	. (+1048)
Ccdc85b	. (+156)
Ccdc86	. (+9)
Ccdc88a	. (-154)
Ccdc88c	. (-424)
Ccdc9	. (-8270), . (+104)
Ccdc94	. (-21)
Ccdc96	. (+97700)
Cck	. (+181338)
Ccm2	. (-18159), . (-323)
Ccna2	. (+10)
Ccnb1	. (-76)
Ccnb2	. (+211856)
Ccnd3	. (-2733), . (+6307), . (+88368), . (+93313)
Ccng2	. (-28)
Ccnh	. (-841240), . (-14)
Ccni	. (-234)
Ccnj	. (-56)
Ccnl1	. (-16523), . (+16)
Ccno	. (-111)
Ccnt1	. (+3043)
Ccny	. (-59)
Ccnyl1	. (+161)
Ccrn4l	. (+298)
Cct4	. (+24)
Cct8l1	. (+13902)
Cd151	. (+1540)
Cd164	. (-220)
Cd248	. (-14019)
Cd27	. (-34719)
Cd2ap	. (-276)
Cd320	. (+102), . (+22471)
Cd34	. (+37702)
Cd46	. (+115725)
Cd48	. (-23259)
Cd55	. (+286)
Cd81	. (+215)
Cd83	. (+79539)
Cd9	. (-3437)
Cd97	. (-7695)
Cdc123	. (+77)
Cdc14a	. (-1081)
Cdc14b	. (+26142)
Cdc25a	. (-165)
Cdc34	. (-367)
Cdc42bpg	. (-8594)
Cdc42se1	. (-250)
Cdc42se2	. (-90)
Cdc6	. (-470)
Cdc73	. (-77)
Cdca2	. (+289)
Cdca4	. (-149)
Cdca5	. (+34)
Cdh24	. (-276)
Cdhr3	. (-54875)
Cdip1	. (-133)
Cdk11b	. (-162)
Cdk14	. (-39964)
Cdk17	. (-228)
Cdk20	. (+50)
Cdk4	. (+17)
Cdk5	. (-367)
Cdk5r1	. (-359)
Cdk5r2	. (-51843)
Cdk5rap1	. (-156)
Cdk5rap3	. (-76)
Cdk6	. (-42714)
Cdk7	. (+16)
Cdk8	. (-273)
Cdk9	. (-2528)
Cdkl3	. (-3552), . (-94)
Cdkl4	. (+2728), . (+10193)
Cdkn1a	. (-41835), . (-11854), . (-8965), . (+2705), . (+4565)
Cdkn1b	. (+8106)
Cdkn2aipnl	. (-139)
Cdnf	. (-140), . (+144990)
Cds2	. (-4)
Cdv3	. (-59329)
Cdx2	. (+13930)
Cebpb	. (-56), . (+1042), . (+236258)
Cebpz	. (+183)
Cecr2	. (-86028)
Cecr5	. (-49074)
Celsr2	. (+13684)
Cenpb	. (-256)
Cenpe	. (-60)
Cenpi	. (+35)
Cenpj	. (+4)
Cenpl	. (-1)
Cenpo	. (+115)
Cenpp	. (-319)
Cenpw	. (+46)
Cep104	. (-80)
Cep120	. (-373)
Cep135	. (+184)
Cep170b	. (-28388)
Cep63	. (-363)
Cep72	. (-24)
Cep76	. (-130)
Cep85l	. (-176731)
Cep95	. (-572)
Cetn3	. (+428)
Cfdp1	. (-89)
Chac1	. (-66)
Chaf1a	. (-3766), . (-120)
Chaf1b	. (-129)
Chchd1	. (-32)
Chchd3	. (+101)
Chchd5	. (-71)
Chchd7	. (+62)
Chd1l	. (+11)
Chd2	. (-76757)
Chd8	. (-20250)
Chd9	. (-73)
Chek1	. (+153)
Chek2	. (-85)
Cherp	. (-7)
Chfr	. (-117)
Chka	. (-367)
Chmp5	. (-73)
Chmp7	. (-232)
Chordc1	. (-164)
Chpf	. (-47)
Chrm1	. (+49202)
Chrna2	. (+6787)
Chst14	. (+50000)
Chsy1	. (-99)
Ciao1	. (-23)
Ciapin1	. (-7)
Cib1	. (+74)
Cinp	. (-188)
Cirbp	. (-2600)
Cisd2	. (+790), . (+21498)
Cish	. (+16940)
Cited2	. (-186)
Ckap5	. (-19661)
Ckmt1	. (-3054)
Cks1b	. (+40)
Cks2	. (-98)
Clcc1	. (+19)
Clcn2	. (-1601)
Clcn3	. (-143)
Clcn4-2	. (-60)
Clcn6	. (-137)
Clcn7	. (+16)
Clec18a	. (+25701)
Clhc1	. (+103), . (+97815)
Clic1	. (+1885)
Clic4	. (-126), . (+66235)
Clic5	. (+68184)
Clint1	. (-843776)
Clk2	. (+35)
Clk3	. (-65700), . (+550)
Cln5	. (-92)
Clns1a	. (-33)
Clpp	. (-85)
Clptm1l	. (-289)
Clta	. (+60201)
Cltc	. (-168)
Cluap1	. (-12)
Cluh	. (-188)
Cmah	. (+172263), . (+174090)
Cmc1	. (-99)
Cmss1	. (-149)
Cmtm6	. (+203), . (+21950)
Cmtm7	. (+28676)
Cnbd2	. (+96)
Cnnm2	. (-7)
Cnnm3	. (-163)
Cnot10	. (-142)
Cnot4	. (-44)
Cnppd1	. (+118)
Cnpy2	. (-18)
Cnpy3	. (-101)
Cnst	. (+20)
Cntnap1	. (-2082)
Cntrob	. (-176)
Coa5	. (+32)
Coasy	. (-96)
Coil	. (+70)
Col15a1	. (+43090)
Colgalt1	. (+180)
Commd5	. (-49)
Commd7	. (+170)
Commd9	. (-75)
Comt	. (-33384), . (+348)
Comtd1	. (+14)
Copg1	. (+51)
Cops5	. (-1795)
Cops6	. (-19)
Cops7a	. (+106)
Cops8	. (-225)
Coq10b	. (-69)
Coq7	. (+78)
Coq9	. (+44)
Coro2a	. (+38171)
Coro2b	. (+183048)
Coro7	. (-44)
Cox14	. (+16)
Cox18	. (-2)
Cox20	. (+17406)
Cox4i1	. (-128)
Cox4i2	. (+56158)
Cox7a2l	. (-107)
Cox7b	. (-3823)
Cpeb4	. (-47459), . (-1536)
Cpm	. (-193935)
Cpn2	. (+79353)
Cpne5	. (+66454)
Cpox	. (+100)
Cpq	. (+67)
Cpsf1	. (-18)
Cpsf6	. (-58595)
Cpt1a	. (+2164)
Cramp1l	. (-766)
Crat	. (-132)
Crb3	. (-1703)
Crbn	. (-39)
Creb3	. (+93)
Creb3l1	. (+61002)
Crebbp	. (-777)
Crebrf	. (-160)
Creld2	. (-156)
Crem	. (-38090), . (+18592)
Crhr1	. (-131584)
Crk	. (-148)
Crlf3	. (-91)
Crls1	. (-75)
Crtam	. (-69230)
Crtc2	. (-42)
Cry2	. (-47)
Cryaa	. (+15681), . (+51305), . (+99257), . (+112987)
Cryba1	. (-37972)
Crygn	. (+7105)
Cryz	. (-320)
Csf1	. (+251)
Csf2	. (+99678)
Csk	. (-10276), . (-24)
Csnk1a1	. (-175)
Csnk1d	. (+40371)
Csnk2a1	. (-222)
Cspg4	. (+59684)
Cspp1	. (+1704)
Csrnp2	. (-1)
Csrp1	. (-33)
Csrp2bp	. (+17)
Cstad	. (+104959), . (+117176)
Cstb	. (+40)
Cstf1	. (-17)
Cstf2	. (-45)
Ctbp2	. (+11811)
Ctcfl	. (+35681), . (+97466)
Ctdsp1	. (-4746), . (+5878)
Ctf1	. (-3877)
Cth	. (0)
Ctnnb1	. (-356146), . (-22)
Ctns	. (-234)
Ctps	. (+131)
Ctsa	. (+763)
Ctsh	. (+59500)
Ctu2	. (-106)
Cuedc1	. (+88621)
Cuedc2	. (-10341), . (+47)
Cul2	. (-45583)
Cul4a	. (-798)
Cul4b	. (+102391)
Cul5	. (+233)
Cul7	. (-4080), . (+249)
Cuta	. (-155)
Cux1	. (+104)
Cwc25	. (-54)
Cxxc1	. (-199)
Cxxc5	. (+129447)
Cyb561	. (-14966), . (+17)
Cyb5b	. (-60)
Cyb5d2	. (-144)
Cyb5r3	. (+308)
Cycs	. (-81), . (+20838)
Cyld	. (-34462)
Cyp1a2	. (+27726)
Cyp4f16	. (+14664)
Cysltr2	. (-68094), . (+65586), . (+161944)
Cystm1	. (-61742)
Cyth4	. (-15180), . (-9666)
D030025P21Rik	. (-91056)
D030056L22Rik	. (-176)
D10Wsu102e	. (-38)
D15Ertd621e	. (+16)
D17H6S53E	. (-24)
D19Bwg1357e	. (-155)
D2hgdh	. (+156)
D5Ertd579e	. (-40403), . (-22951)
D630003M21Rik	. (+21194)
D6Ertd527e	. (+48143)
D6Wsu163e	. (-211)
D730039F16Rik	. (-3282)
D8Ertd82e	. (+187)
D930007J09Rik	. (+894)
D930015E06Rik	. (-338)
D930048N14Rik	. (+5)
Dab2ip	. (+277048)
Dad1	. (+20586), . (+26632)
Dak	. (-1244)
Dalrd3	. (-2726)
Dap	. (+120667)
Dars2	. (-108)
Daxx	. (-105)
Dazap1	. (-118)
Dazl	. (-177155)
Dbn1	. (+16427)
Dbnl	. (-26269)
Dbp	. (-163), . (+2659)
Dbt	. (-121)
Dcaf10	. (-277)
Dcaf11	. (-2800)
Dcaf13	. (-108)
Dcaf17	. (-136)
Dcaf4	. (+103)
Dcaf5	. (-57)
Dcaf6	. (-655)
Dcakd	. (+19)
Dclre1a	. (-127)
Dclre1c	. (-111)
Dcp1a	. (-6)
Dcps	. (+187)
Dctpp1	. (-113)
Dda1	. (-4457)
Ddah2	. (-7184)
Ddb1	. (-123)
Ddhd1	. (-170)
Ddit3	. (-161)
Ddit4	. (-121)
Ddost	. (-42)
Ddr1	. (-112702)
Ddt	. (-60)
Ddx11	. (+105)
Ddx18	. (+91)
Ddx19b	. (-2052)
Ddx20	. (+47)
Ddx24	. (-181)
Ddx27	. (+150)
Ddx28	. (+51)
Ddx39	. (+97)
Ddx39b	. (-139)
Ddx3x	. (-72799), . (-105)
Ddx41	. (+9)
Ddx46	. (+25)
Ddx5	. (-171)
Ddx50	. (-131)
Ddx51	. (+18)
Ddx55	. (-60)
Ddx56	. (-117)
Deb1	. (-45)
Decr2	. (-105)
Dedd	. (-59)
Def6	. (+2)
Degs2	. (-55766)
Dennd6b	. (-13764), . (+52)
Depdc1b	. (-211)
Derl1	. (-14447)
Desi1	. (-176)
Det1	. (+161)
Dffb	. (+12)
Dgat1	. (-181)
Dgat2	. (-141)
Dgcr14	. (-58)
Dgkg	. (+108769)
Dgkz	. (-13073)
Dguok	. (+76), . (+50378)
Dhps	. (-7)
Dhrs11	. (-287)
Dhrs13	. (-9)
Dhrs7	. (-165)
Dhrs7b	. (+72)
Dhx16	. (-9363), . (-39)
Dhx29	. (-257)
Dhx30	. (+57)
Dhx33	. (-87)
Dhx38	. (-238)
Dhx40	. (+38)
Dhx57	. (-909)
Dhx8	. (-131)
Diablo	. (-44)
Diap1	. (-172)
Diexf	. (-76)
Dip2b	. (+22)
Diras2	. (+560636)
Dleu7	. (+644065)
Dlg1	. (-399)
Dlg4	. (-1826)
Dlgap1	. (+313729), . (+330441)
Dlgap4	. (+107210)
Dlst	. (-171)
Dmtf1	. (-88)
Dnaaf2	. (+1147)
Dnaja2	. (-169)
Dnaja3	. (-4249)
Dnajb1	. (-67)
Dnajb11	. (-241)
Dnajb14	. (-3320), . (-2021)
Dnajb2	. (+15165)
Dnajb9	. (-131)
Dnajc1	. (+57)
Dnajc11	. (-127)
Dnajc12	. (-3820)
Dnajc13	. (-16232)
Dnajc14	. (-137)
Dnajc16	. (+136)
Dnajc27	. (+118)
Dnajc3	. (-140)
